user_id,products,reviews,average_recommendation_credibility,reviews_scaled,products_scaled,average_recommendation_credibility_scaled,user_credibility,user_credibility_log
947,216.0,12.0,0.0,0.0049240869922035,0.0072600161333691,0.0,0.0043812325510087,0.0043716628927598
1107,242.0,9.0,0.0,0.0036930652441526,0.0081339069642376,0.0,0.0043614823589408,0.0043519986600814
1345,149.0,9.0,0.0,0.0036930652441526,0.0050080666845926,0.0,0.0031111462470828,0.003106316646068
1405,580.0,23.0,0.059939342058984,0.0094378334017234,0.0194944877655283,0.1085410388547559,0.0431914567831551,0.0422847227233925
1634,168.0,23.0,0.0,0.0094378334017234,0.0056466792148427,0.0,0.0050900217064541,0.0050771113368101
2206,135.0,10.0,0.0,0.0041034058268362,0.0045375100833557,0.0,0.0030460257813931,0.003041396044013
2607,287.0,8.0,0.0,0.003282724661469,0.0096464103253562,0.0,0.0048433815285832,0.004831690091796
3363,738.0,14.0,0.0,0.0057447681575707,0.0248050551223447,0.0,0.0116454524962091,0.0115781660975005
3422,193.0,9.0,0.0,0.0036930652441526,0.0064869588599085,0.0,0.0037027031172092,0.0036958649865358
3629,523.0,152.0,0.0,0.0623717685679113,0.0175786501747781,0.0,0.0257429906402846,0.0254172189171368
3931,479.0,20.0,0.0,0.0082068116536725,0.0160997579994622,0.0,0.0089019466958866,0.0088625579534657
3980,26.0,8.0,0.0,0.003282724661469,0.0008738908308685,0.0,0.0013343737307881,0.001333484245344
4729,219.0,8.0,0.0,0.003282724661469,0.007360849690777,0.0,0.0039291572747515,0.0039214582967142
5567,305.0,10.0,0.0,0.0041034058268362,0.0102514116698037,0.0,0.0053315864159723,0.0053174238261954
5954,258.0,13.0,0.0,0.0053344275748871,0.0086716859370798,0.0,0.005069002647298,0.0050561985046391
5983,19.0,9.0,0.0,0.0036930652441526,0.00063861253025,0.0,0.0013633645853458,0.0013624360477106
6662,411.0,22.0,0.0,0.0090274928190398,0.013814197364883,0.0,0.0082339267916651,0.008200212954873
7105,589.0,16.0,0.0,0.006565449322938,0.019796988437752,0.0,0.0098884301719822,0.0098398595751858
7561,172.0,61.0,0.0,0.0250307755437012,0.0057811239580532,0.0,0.0098216822463316,0.0097737630346335
8124,28.0,13.0,0.0486359865435322,0.0053344275748871,0.0009411132024737,0.0880723799064403,0.0283984875253877,0.0280027257019695
8855,46.0,25.0,0.0,0.0102585145670906,0.0015461145469212,0.0,0.0036960001888956,0.0036891867633184
9553,333.0,10.0,0.0,0.0041034058268362,0.0111925248722774,0.0,0.0057080316969618,0.0056918026121684
9632,289.0,13.0,0.0,0.0053344275748871,0.0097136326969615,0.0,0.0054857813512507,0.005470789256644
9970,95.0,20.0,0.0,0.0082068116536725,0.0031930626512503,0.0,0.0037392685566018,0.0037322948708491
10347,111.0,12.0,0.0,0.0049240869922035,0.0037308416240924,0.0,0.002969562747298,0.002965162305283
10595,1053.0,8.0,0.0,0.003282724661469,0.0353925786501747,0.0,0.0151418488585106,0.0150283552992312
11696,631.0,35.0,0.0642905704127869,0.0143619203939269,0.0212086582414627,0.1164204521014226,0.04771817504519,0.0466146327925934
12556,233.0,9.0,0.0708072004468729,0.0036930652441526,0.0078314062920139,0.1282210786921473,0.0427068056976955,0.0418200297871183
13192,118.0,8.0,0.0,0.003282724661469,0.0039661199247109,0.0,0.002571265368325,0.0025679653211821
13377,49.0,11.0,0.0,0.0045137464095199,0.0016469481043291,0.0,0.0020129031645876,0.002010879989528
13601,203.0,14.0,0.0,0.0057447681575707,0.0068230707179349,0.0,0.0044526587344452,0.0044427749780112
14813,90.0,10.0,0.0,0.0041034058268362,0.0030250067222371,0.0,0.0024410244369457,0.0024380499762988
15789,60.0,8.0,0.0,0.003282724661469,0.0020166711481581,0.0,0.0017914858577039,0.0017898830608878
16593,137.0,10.0,0.0,0.0041034058268362,0.004604732454961,0.0,0.0030729147300352,0.0030682029776406
16863,213.0,11.0,0.0,0.0045137464095199,0.0071591825759612,0.0,0.0042177969532404,0.0042089269800881
17331,160.0,12.0,0.0,0.0049240869922035,0.0053777897284216,0.0,0.0036283419890297,0.0036217754352435
18581,60.0,8.0,0.0,0.003282724661469,0.0020166711481581,0.0,0.0017914858577039,0.0017898830608878
19115,69.0,8.0,0.0,0.003282724661469,0.0023191718203818,0.0,0.0019124861265934,0.0019106596533668
19334,29.0,9.0,0.0,0.0036930652441526,0.0009747243882764,0.0,0.0014978093285563,0.0014966887309853
19432,199.0,53.0,0.0,0.0217480508822322,0.0066886259747243,0.0,0.0091998656545594,0.0091578046640268
19869,534.0,38.0,0.0,0.0155929421419778,0.0179483732186071,0.0,0.0118572319300362,0.0117874857452879
20473,72.0,28.0,0.0,0.0114895363151415,0.0024200053777897,0.0,0.0044148630456583,0.00440514612655
21189,65.0,9.0,0.0,0.0036930652441526,0.0021847270771712,0.0,0.0019818104041143,0.0019798492085929
22175,149.0,30.0,0.0,0.0123102174805088,0.0050080666845926,0.0,0.0056962919179897,0.0056801293957648
22587,88.0,9.0,0.0,0.0036930652441526,0.0029577843506318,0.0,0.0022910333134985,0.0022884128982192
23837,42.0,12.0,0.0,0.0049240869922035,0.0014116698037106,0.0,0.0020418940191453,0.0020398121869913
23856,118.0,11.0,0.0,0.0045137464095199,0.0039661199247109,0.0,0.0029405718927403,0.0029362568682357
23942,128.0,9.0,0.0,0.0036930652441526,0.0043022317827372,0.0,0.0028288122863407,0.0028248187264464
23970,195.0,13.0,0.0,0.0053344275748871,0.0065541812315138,0.0,0.0042220007650716,0.0042131131268037
24053,407.0,15.0,0.0,0.0061551087402544,0.0136797526216724,0.0,0.0073184336707453,0.007291783879214
24059,215.0,13.0,0.0,0.0053344275748871,0.0072264049475665,0.0,0.0044908902514927,0.0044808362934441
24092,36.0,11.0,0.0685853947237955,0.0045137464095199,0.0012100026888948,0.1241977261989059,0.0390974428580856,0.0383524929534914
24164,254.0,12.0,0.0,0.0049240869922035,0.0085372411938693,0.0,0.0048921225752087,0.0048801950284262
